#  Contiguous U.S. Palmer Z-Index
Date,Value
197406,-0.58
197407,-1.71
197408,2.75
197409,1.51
197410,-0.15
197411,-0.33
197412,-0.01
197501,1.04
197502,2.05
197503,3.4
197504,2.03
197505,1.07
197506,1.69
197507,1.89
197508,1.8
197509,1.37
197510,0.56
197511,0.5
197512,0.25
197601,-0.32
197602,-1.05
197603,-0.11
197604,-0.77
197605,0.59
197606,0.02
197607,0.61
197608,-1.22
197609,0.14
197610,1.99
197611,-1.88
197612,-2.57
197701,-3.11
197702,-3.78
197703,1.28
197704,-1.65
197705,-1.18
197706,-1.7
197707,-1.76
197708,2.43
197709,1.77
197710,0.24
197711,1.33
197712,1.5
197801,3.69
197802,-0.35
197803,-0.78
197804,0.04
197805,2.33
197806,-0.97
197807,0.19
197808,0.72
197809,-0.39
197810,-2.76
197811,0.43
197812,0.21
197901,2.8
197902,2.03
197903,0.67
197904,2.08
197905,1.4
197906,-0.62
197907,2.14
197908,2.35
197909,0.01
197910,0.06
197911,0.89
197912,-0.61
198001,1.16
198002,0.06
198003,3.18
198004,-0.36
198005,0.57
198006,-1.61
198007,-2.99
198008,-1.36
198009,0.24
198010,-0.38
198011,-2.16
198012,-3.78
198101,-5.96
198102,-4.38
198103,-2.04
198104,-2.27
198105,2.33
198106,1.23
198107,1.86
198108,1.29
198109,-0.99
198110,3.22
198111,-0.07
198112,1.3
198201,3.03
198202,0.97
198203,-0.21
198204,1.01
198205,1.27
198206,2.06
198207,2.17
198208,0.93
198209,0.39
198210,0.96
198211,2.72
198212,5.05
198301,1.42
198302,1.73
198303,3.36
198304,3.51
198305,2.5
198306,0.79
198307,-1
198308,-1.8
198309,-1.01
198310,0.94
198311,4.01
198312,4.49
198401,-0.25
198402,-0.01
198403,1.05
198404,1.92
198405,0.82
198406,0.24
198407,0.91
198408,-0.41
198409,-1.12
198410,4.25
198411,2.91
198412,3.01
198501,-0.08
198502,0.63
198503,-0.73
198504,-2.61
198505,-1.8
198506,-0.78
198507,-0.93
198508,0.88
198509,2.11
198510,2.83
198511,4.75
198512,1.34
198601,-0.22
198602,2.29
198603,-3.1
198604,-1.29
198605,-0.14
198606,-0.1
198607,-0.01
198608,0.81
198609,3.66
198610,2.11
198611,2.98
198612,1.73
198701,1.7
198702,0.64
198703,0.13
198704,-3.78
198705,-0.59
198706,-0.82
198707,-0.48
198708,0.15
198709,-1.03
198710,-2.33
198711,-0.41
198712,0.2
198801,-0.66
198802,-1.17
198803,-1.77
198804,-0.67
198805,-2.66
198806,-4.71
198807,-2.85
198808,-2.1
198809,0.71
198810,-1.99
198811,1.01
198812,-2.13
198901,-1.96
198902,-0.02
198903,0.84
198904,-2.59
198905,0.81
198906,2.88
198907,1.62
198908,1.41
198909,1.04
198910,-0.5
198911,-1.49
198912,-2.85
199001,-0.96
199002,1.75
199003,-0.39
199004,-0.43
199005,3.19
199006,-1.5
